"Affiliation","Year","Articles"
"UNIVERSITY OF CALIFORNIA","2013","3"
"UNIVERSITY OF CALIFORNIA","2014","3"
"UNIVERSITY OF CALIFORNIA","2015","3"
"UNIVERSITY OF CALIFORNIA","2016","4"
"UNIVERSITY OF CALIFORNIA","2017","4"
"UNIVERSITY OF CALIFORNIA","2018","4"
"UNIVERSITY OF CALIFORNIA","2019","21"
"UNIVERSITY OF CALIFORNIA","2020","31"
"UNIVERSITY OF CALIFORNIA","2021","37"
"UNIVERSITY OF CALIFORNIA","2022","54"
"UNIVERSITY OF CALIFORNIA","2023","70"
"UNIVERSITY OF WASHINGTON","2013","6"
"UNIVERSITY OF WASHINGTON","2014","6"
"UNIVERSITY OF WASHINGTON","2015","6"
"UNIVERSITY OF WASHINGTON","2016","16"
"UNIVERSITY OF WASHINGTON","2017","16"
"UNIVERSITY OF WASHINGTON","2018","26"
"UNIVERSITY OF WASHINGTON","2019","28"
"UNIVERSITY OF WASHINGTON","2020","41"
"UNIVERSITY OF WASHINGTON","2021","42"
"UNIVERSITY OF WASHINGTON","2022","49"
"UNIVERSITY OF WASHINGTON","2023","63"
"HARVARD MEDICAL SCHOOL","2013","0"
"HARVARD MEDICAL SCHOOL","2014","0"
"HARVARD MEDICAL SCHOOL","2015","0"
"HARVARD MEDICAL SCHOOL","2016","0"
"HARVARD MEDICAL SCHOOL","2017","11"
"HARVARD MEDICAL SCHOOL","2018","15"
"HARVARD MEDICAL SCHOOL","2019","21"
"HARVARD MEDICAL SCHOOL","2020","43"
"HARVARD MEDICAL SCHOOL","2021","53"
"HARVARD MEDICAL SCHOOL","2022","84"
"HARVARD MEDICAL SCHOOL","2023","128"
"MAYO CLINIC","2013","0"
"MAYO CLINIC","2014","0"
"MAYO CLINIC","2015","0"
"MAYO CLINIC","2016","0"
"MAYO CLINIC","2017","4"
"MAYO CLINIC","2018","4"
"MAYO CLINIC","2019","4"
"MAYO CLINIC","2020","4"
"MAYO CLINIC","2021","16"
"MAYO CLINIC","2022","45"
"MAYO CLINIC","2023","47"
"STANFORD UNIVERSITY","2013","0"
"STANFORD UNIVERSITY","2014","0"
"STANFORD UNIVERSITY","2015","0"
"STANFORD UNIVERSITY","2016","0"
"STANFORD UNIVERSITY","2017","0"
"STANFORD UNIVERSITY","2018","0"
"STANFORD UNIVERSITY","2019","10"
"STANFORD UNIVERSITY","2020","13"
"STANFORD UNIVERSITY","2021","18"
"STANFORD UNIVERSITY","2022","36"
"STANFORD UNIVERSITY","2023","55"
