"Element","h_index","g_index","m_index","TC","NP","PY_start"
"CANNESSON M","7","10","1.167","185","10","2019"
"LEE H-C","7","13","1.000","414","13","2018"
"LEUNG FW","7","8","0.636","306","8","2014"
"WANG Y","7","11","1.000","152","20","2018"
"LIU J","6","12","1.000","159","17","2019"
"ZHANG J","6","12","1.200","154","19","2020"
"AVIDAN MS","5","7","0.714","209","7","2018"
"FAN S-Z","5","6","0.455","87","6","2014"
"JUNG C-W","5","7","0.714","241","7","2018"
"LEE J","5","5","0.714","83","5","2018"
"LIU Y","5","7","0.714","50","10","2018"
"NAGARAJ SB","5","5","0.556","102","5","2016"
"NAIR BG","5","7","0.417","116","7","2013"
"SHIEH J-S","5","6","0.455","87","6","2014"
"WANG H","5","9","0.455","141","9","2014"
"WANG S","5","7","1.000","54","7","2020"
"YANG F","5","6","0.714","97","6","2018"
"ZHANG L","5","8","0.500","64","8","2015"
"ZHANG Z","5","8","1.250","66","9","2021"
"ABBOD MF","4","5","0.667","78","5","2019"
"BELLINI V","4","9","0.800","92","9","2020"
"BIGNAMI E","4","7","0.800","88","7","2020"
"BONHOMME V","4","4","0.444","99","4","2016"
"BOWNESS JS","4","4","1.333","54","4","2022"
"BROWN EN","4","4","0.500","34","4","2017"
"BURCKETT-ST LAURENT D","4","4","1.333","54","4","2022"
"CADONI S","4","4","0.400","176","4","2015"
"CASCELLA M","4","6","1.333","45","8","2022"
"CHEN X","4","6","0.571","49","15","2018"
"CHEN Y","4","10","0.571","111","14","2018"
"DELBOS A","4","4","0.444","87","4","2016"
"FORSYTHE B","4","6","1.000","44","6","2021"
"GABRIEL RA","4","5","0.667","61","5","2019"
"GEERTS BF","4","5","0.667","308","5","2019"
"HAFIANE A","4","5","0.444","87","5","2016"
"HE Y","4","9","0.571","97","10","2018"
"HIGHAM H","4","4","1.333","54","4","2022"
"HOFER I","4","4","0.667","121","4","2019"
"HOLLMANN MW","4","4","0.333","288","4","2013"
"HORIBE M","4","6","0.333","1002","6","2013"
"HSIEH Y-H","4","4","0.364","169","4","2014"
"HUANG X","4","6","0.667","175","6","2019"
"JR","4","5","0.571","52","5","2018"
"KANG AR","4","4","0.667","84","4","2019"
"KHETERPAL S","4","5","0.500","72","5","2017"
"KING CR","4","4","0.667","170","4","2019"
"KLEMT C","4","4","1.333","46","4","2022"
"KOO M","4","4","0.364","169","4","2014"
"KWON Y-M","4","4","1.333","46","4","2022"
"LAUREYS S","4","5","0.444","115","5","2016"
"LAVOIE-GAGNE O","4","4","1.000","41","4","2021"
"LEE C","4","5","0.667","98","5","2019"
"LEE M","4","5","0.667","104","5","2019"
"LI D","4","6","0.500","130","6","2017"
"LI X","4","9","0.667","91","10","2019"
"LIU H","4","7","1.333","54","8","2022"
"LIU X","4","6","0.800","46","8","2020"
"LIU Z","4","8","0.333","77","8","2013"
"LU Y","4","7","1.000","55","12","2021"
"MAHAJAN A","4","4","0.500","131","4","2017"
"NEWMAN S-F","4","4","0.333","1013","4","2013"
"NOBLE JA","4","4","1.333","54","4","2022"
"PARK SY","4","5","0.800","75","5","2020"
"PURDON PL","4","5","0.444","63","5","2016"
"SAUGEL B","4","5","0.667","68","5","2019"
"SIMPAO AF","4","5","0.500","76","5","2017"
"STRUYS MMRF","4","5","0.667","44","5","2019"
"VIEYRES P","4","4","0.444","87","4","2016"
"WANG B","4","4","1.000","78","4","2021"
"WANG J","4","11","0.571","174","11","2018"
"WANG Q","4","6","0.800","40","6","2020"
"WANG X","4","7","0.364","63","14","2014"
"WANG Z","4","7","0.667","63","7","2019"
"YEO I","4","4","1.333","46","4","2022"
"ZHANG X","4","8","0.571","78","12","2018"
