"documents","NormalizedLocalCitationScore","Cluster"
"AFSHAR S, 2021, IEEE J BIOMEDICAL HEALTH INFORMAT","9.45","1"
"KHAN FH, 2021, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","2.91","1"
"WANG H, 2021, BIOMED SIGNAL PROCESS CONTROL","1.45","1"
"HWANG E, 2023, ARTIF INTELL MED","0.92","1"
"VRIJDAG XCE, 2023, J CLIN MONIT COMPUT","0.92","1"
"SHI M, 2023, SENSORS","0.92","1"
"DUTT MI, 2023, IEEE TRANS NEURAL SYST REHABIL ENG","0.92","1"
"HUANG Y, 2022, SENSORS","0.82","1"
"CASEY CP, 2022, BR J ANAESTH","0.82","1"
"NSUGBE E, 2022, HEALTHC TECHNOL LETT","0.82","1"
"SCHAMBERG G, 2022, ARTIF INTELL MED","0.82","1"
"DUTT MI, 2022, IEEE INT INTERREG NEWCAS CONF, NEWCAS - PROC","0.82","1"
"FERREIRA AL, 2021, IRBM","0.73","1"
"RA JS, 2021, BRAIN INFORMATICS","0.73","1"
"AFSHAR S, 2020, NATL INT IRANIAN CONF BIOMED ENG, ICBME","0.5","1"
"PARK Y, 2020, IEEE TRANS BIOMED CIRCUITS SYST","2.52","2"
"DURAN H-T, 2023, CURR OPIN ANAESTHESIOL","0.92","2"
"LONSDALE H, 2023, ANESTH ANALG","0.92","2"
"SEGAS E, 2023, ELIFE-A","0.92","2"
"WANG G, 2023, HELIYON","0.92","2"
"SUN Y, 2023, ANN APPL STATISTICS","0.92","2"
"WANG S, 2023, FRONT PHYSIOL","0.92","2"
"JEONG H, 2022, PROC - IEEE INT CONF BIG DATA, BIG DATA","0.82","2"
"YOO JY, 2021, SCI REP","0.73","2"
"CHERIFA M, 2021, ARTIF INTELL MED","0.73","2"
"RAMLOGAN RR, 2021, ANAESTHESIA","0.73","2"
"AVILOV O, 2020, PROC ANNU INT CONF IEEE ENG MED BIOL SOC EMBS","0.5","2"
"CHEN D, 2020, GASTROINTEST ENDOSC","0.5","2"
"CAMPBELL JM, 2020, NEUROIMAGE","0.5","2"
"MOON Y-J, 2019, J CLIN MED","0.45","2"
"ATEE M, 2018, FRONT AGING NEUROSCI","0.28","2"
"LU Y, 2021, ARTHROSC, SPORTS MED, REHABIL","4.36","3"
"LI S, 2022, BMJ OPEN","2.45","3"
"LU Y, 2021, KNEE SURG SPORTS TRAUMATOL ARTHROSCOPY","2.18","3"
"JALALI A, 2021, ANESTH ANALG","1.45","3"
"RASHIDI P, 2019, CURR OPIN ANAESTHESIOL","1.36","3"
"GRAEßNER M, 2023, SCI REP","0.92","3"
"SHI G, 2023, BMC ANESTHESIOL","0.92","3"
"GRAY GM, 2023, PAEDIATR ANAESTH","0.92","3"
"WANG M-L, 2023, J CLIN ANESTH","0.92","3"
"LU Y, 2023, J ARTHROPLASTY","0.92","3"
"SPEROTTO F, 2023, PHARMACOTHERAPY","0.92","3"
"LABOTT JR, 2023, J ARTHROPLASTY","0.92","3"
"GILADI AM, 2023, PLAST RECONSTR SURG","0.92","3"
"SALMONS HI, 2023, J ARTHROPLASTY","0.92","3"
"GARCÍA-GARCÍA F, 2023, COMPUT METHODS PROGRAMS BIOMED","0.92","3"
"KLEMT C, 2023, ARCH ORTHOP TRAUMA SURG","0.92","3"
"BOOTH GJ, 2023, ACAD MED","0.92","3"
"KLEMT C, 2023, ARCH ORTHOP TRAUMA SURG-A","0.92","3"
"LOPEZ CD, 2023, ARTHROSCOPY J ARTHROSCOPIC RELAT SURG","0.92","3"
"KRIVICICH LM, 2023, HSS J","0.92","3"
"YAN Y, 2023, CLIN APPL THROMB HEMOST","0.92","3"
"LU Y, 2022, ARTHROSCOPY J ARTHROSCOPIC RELAT SURG","0.82","3"
"KLEMT C, 2022, KNEE SURG SPORTS TRAUMATOL ARTHROSCOPY","0.82","3"
"LU Y, 2022, J SHOULDER ELBOW SURG","0.82","3"
"SALMONS HI, 2022, WORLD NEUROSURG","0.82","3"
"BUUS AAØ, 2022, NURS RES","0.82","3"
"EZUMA CO, 2022, ARTHROSC, SPORTS MED, REHABIL","0.82","3"
"KLEMT C, 2022, J AM ACAD ORTHOP SURG","0.82","3"
"ZHANG G, 2022, FRONT ONCOL","0.82","3"
"SIMONS L, 2022, BMJ OPEN","0.82","3"
"SONG BM, 2021, ARTHROSC, SPORTS MED, REHABIL","0.73","3"
"CHEN C, 2021, RESPIR RES","0.73","3"
"XUE B, 2021, JAMA NETW OPEN","0.73","3"
"GÁLVEZ JA, 2017, J MED SYST","0.54","3"
"LEE MS, 2020, GLOBAL SPINE J","0.5","3"
"CASCELLA M, 2023, J ANESTH ANALG CRIT CARE","1.83","4"
"GABRIEL RA, 2022, REG ANESTH PAIN MED","1.63","4"
"CHUNG P, 2023, BMC ANESTHESIOL","0.92","4"
"PANDEYA S, 2023, MUSCLE NERVE","0.92","4"
"JAOTOMBO F, 2023, PLOS ONE","0.92","4"
"WU J-M, 2023, J HEALTHC QUAL RES","0.92","4"
"MAHAJAN A, 2023, JAMA NETW OPEN","0.92","4"
