"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","2013:2023"
"Sources (Journals, Books, etc)","676"
"Documents","1248"
"Annual Growth Rate %","29.84"
"Document Average Age","3.18"
"Average citations per doc","10.5"
"References","50051"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","9659"
"Author's Keywords (DE)","3163"
"AUTHORS",""
"Authors","6329"
"Authors of single-authored docs","45"
"AUTHORS COLLABORATION",""
"Single-authored docs","50"
"Co-Authors per Doc","6.34"
"International co-authorships %","23"
"DOCUMENT TYPES",""
"article","1053"
"review","195"
