From,To,Frequency
AUSTRALIA,ARGENTINA,2
AUSTRALIA,BELGIUM,3
AUSTRALIA,CHILE,1
AUSTRALIA,COSTA RICA,1
AUSTRALIA,DENMARK,2
AUSTRALIA,FINLAND,1
AUSTRALIA,GHANA,1
AUSTRALIA,HONG KONG,1
AUSTRALIA,IRAN,1
AUSTRALIA,IRELAND,2
AUSTRALIA,MALAYSIA,1
AUSTRALIA,NEW ZEALAND,2
AUSTRALIA,SERBIA,1
AUSTRIA,CZECH REPUBLIC,1
AUSTRIA,QATAR,1
AUSTRIA,SLOVAKIA,1
AUSTRIA,UKRAINE,1
BELGIUM,ALGERIA,2
BELGIUM,ARGENTINA,1
BELGIUM,CHILE,1
BELGIUM,COLOMBIA,2
BELGIUM,DENMARK,3
BELGIUM,FINLAND,2
BELGIUM,GHANA,1
BELGIUM,IRELAND,1
BELGIUM,ISRAEL,1
BELGIUM,ROMANIA,2
BELGIUM,SWEDEN,2
BRAZIL,CHILE,1
BRAZIL,COLOMBIA,1
BRAZIL,ECUADOR,1
BRAZIL,SAINT KITTS AND NEVIS,1
CANADA,ARGENTINA,1
CANADA,AUSTRALIA,4
CANADA,BELGIUM,3
CANADA,BRAZIL,1
CANADA,CHILE,1
CANADA,COLOMBIA,2
CANADA,DENMARK,6
CANADA,EGYPT,1
CANADA,HONG KONG,1
CANADA,INDIA,2
CANADA,IRAN,2
CANADA,JORDAN,1
CANADA,NETHERLANDS,3
CANADA,NEW ZEALAND,1
CANADA,QATAR,1
CANADA,SAUDI ARABIA,1
CANADA,SERBIA,1
CANADA,SPAIN,3
CANADA,SWEDEN,2
CANADA,SWITZERLAND,3
CANADA,TURKEY,1
CHILE,ARGENTINA,1
CHINA,AUSTRALIA,9
CHINA,BANGLADESH,1
CHINA,BELGIUM,2
CHINA,BRAZIL,1
CHINA,CAMEROON,1
CHINA,CANADA,7
CHINA,COLOMBIA,1
CHINA,DENMARK,1
CHINA,ECUADOR,1
CHINA,EGYPT,2
CHINA,FRANCE,4
CHINA,GERMANY,2
CHINA,GHANA,1
CHINA,HONG KONG,8
CHINA,INDIA,4
CHINA,INDONESIA,1
CHINA,IRELAND,2
CHINA,ITALY,4
CHINA,JAPAN,5
CHINA,KOREA,3
CHINA,MEXICO,1
CHINA,NETHERLANDS,2
CHINA,NEW ZEALAND,2
CHINA,PAKISTAN,1
CHINA,PORTUGAL,1
CHINA,SINGAPORE,2
CHINA,SPAIN,1
CHINA,SWITZERLAND,2
CHINA,THAILAND,1
CHINA,TURKEY,2
CHINA,UNITED KINGDOM,11
COLOMBIA,ECUADOR,1
CZECH REPUBLIC,QATAR,1
CZECH REPUBLIC,SLOVAKIA,1
DENMARK,ARGENTINA,1
DENMARK,CHILE,1
DENMARK,COLOMBIA,1
DENMARK,ESTONIA,2
DENMARK,FINLAND,1
DENMARK,ISRAEL,1
DENMARK,NORWAY,1
DENMARK,SINGAPORE,1
DENMARK,SWEDEN,2
DENMARK,THAILAND,1
EGYPT,CAMEROON,1
EGYPT,HONG KONG,1
EGYPT,INDONESIA,1
EGYPT,PAKISTAN,1
EGYPT,QATAR,1
EGYPT,SAUDI ARABIA,2
FRANCE,ALGERIA,1
FRANCE,ARGENTINA,1
FRANCE,AUSTRALIA,2
FRANCE,AUSTRIA,1
FRANCE,BELGIUM,8
FRANCE,BRAZIL,1
FRANCE,CANADA,9
FRANCE,CHILE,1
FRANCE,COLOMBIA,1
FRANCE,DENMARK,3
FRANCE,FINLAND,1
FRANCE,HONG KONG,1
FRANCE,INDIA,3
FRANCE,IRELAND,1
FRANCE,ISRAEL,2
FRANCE,JAPAN,2
FRANCE,JORDAN,1
FRANCE,NETHERLANDS,3
FRANCE,QATAR,1
FRANCE,RWANDA,1
FRANCE,SAUDI ARABIA,1
FRANCE,SPAIN,3
FRANCE,SWEDEN,1
FRANCE,SWITZERLAND,4
FRANCE,TURKEY,1
FRANCE,UKRAINE,2
FRANCE,UNITED ARAB EMIRATES,1
GERMANY,ARGENTINA,1
GERMANY,AUSTRALIA,5
GERMANY,AUSTRIA,1
GERMANY,BELGIUM,5
GERMANY,BRAZIL,2
GERMANY,BULGARIA,1
GERMANY,CANADA,2
GERMANY,CHILE,1
GERMANY,COLOMBIA,1
GERMANY,CZECH REPUBLIC,1
GERMANY,DENMARK,4
GERMANY,ECUADOR,1
GERMANY,FINLAND,2
GERMANY,FRANCE,6
GERMANY,GHANA,1
GERMANY,INDIA,1
GERMANY,IRAN,1
GERMANY,IRELAND,2
GERMANY,ISRAEL,3
GERMANY,JAPAN,1
GERMANY,KOREA,2
GERMANY,NETHERLANDS,4
GERMANY,POLAND,4
GERMANY,PORTUGAL,1
GERMANY,QATAR,1
GERMANY,SERBIA,1
GERMANY,SLOVAKIA,1
GERMANY,SPAIN,5
GERMANY,SWEDEN,1
GERMANY,SWITZERLAND,7
GERMANY,THAILAND,1
GERMANY,UKRAINE,1
GERMANY,UNITED ARAB EMIRATES,1
GERMANY,UNITED KINGDOM,8
GREECE,UNITED ARAB EMIRATES,1
INDIA,AUSTRALIA,1
INDIA,HONG KONG,1
INDIA,MALAYSIA,1
INDIA,SAUDI ARABIA,1
INDIA,SWEDEN,1
INDIA,SWITZERLAND,1
INDIA,TURKEY,1
INDIA,UNITED ARAB EMIRATES,1
INDONESIA,CAMEROON,1
IRELAND,ARGENTINA,2
ISRAEL,AUSTRIA,1
ISRAEL,CZECH REPUBLIC,1
ISRAEL,FINLAND,1
ISRAEL,POLAND,2
ISRAEL,PORTUGAL,1
ISRAEL,QATAR,1
ISRAEL,SLOVAKIA,1
ISRAEL,UKRAINE,1
ITALY,ARGENTINA,1
ITALY,AUSTRALIA,1
ITALY,BELGIUM,6
ITALY,BRAZIL,1
ITALY,BULGARIA,1
ITALY,CANADA,5
ITALY,CHILE,2
ITALY,COLOMBIA,2
ITALY,CZECH REPUBLIC,2
ITALY,DENMARK,3
ITALY,ECUADOR,1
ITALY,FINLAND,3
ITALY,FRANCE,9
ITALY,GERMANY,9
ITALY,INDIA,1
ITALY,IRELAND,1
ITALY,ISRAEL,3
ITALY,JAPAN,1
ITALY,KOREA,2
ITALY,MALAYSIA,1
ITALY,NETHERLANDS,4
ITALY,POLAND,2
ITALY,PORTUGAL,2
ITALY,RWANDA,1
ITALY,SPAIN,7
ITALY,SWEDEN,2
ITALY,SWITZERLAND,5
ITALY,TURKEY,1
ITALY,UNITED ARAB EMIRATES,1
ITALY,UNITED KINGDOM,8
JAPAN,BELGIUM,1
JAPAN,DENMARK,1
JAPAN,ISRAEL,1
JAPAN,NETHERLANDS,1
JAPAN,NORWAY,1
JAPAN,POLAND,1
JAPAN,RWANDA,1
JAPAN,SINGAPORE,1
JAPAN,SWITZERLAND,1
JAPAN,THAILAND,1
JORDAN,QATAR,1
KENYA,BOTSWANA,1
KENYA,TANZANIA,1
KOREA,AUSTRALIA,1
KOREA,BELGIUM,1
KOREA,BRAZIL,2
KOREA,CANADA,1
KOREA,COLOMBIA,1
KOREA,DENMARK,1
KOREA,ECUADOR,1
KOREA,FINLAND,1
KOREA,FRANCE,1
KOREA,HONG KONG,1
KOREA,INDIA,1
KOREA,JAPAN,1
KOREA,SINGAPORE,1
KOREA,SPAIN,1
KOREA,SWITZERLAND,2
KOREA,THAILAND,1
KOREA,TURKEY,1
KOREA,UNITED KINGDOM,3
NETHERLANDS,ARGENTINA,1
NETHERLANDS,AUSTRALIA,2
NETHERLANDS,BELGIUM,9
NETHERLANDS,CHILE,2
NETHERLANDS,CYPRUS,1
NETHERLANDS,DENMARK,2
NETHERLANDS,GREECE,1
NETHERLANDS,ISRAEL,1
NETHERLANDS,RWANDA,1
NETHERLANDS,SPAIN,2
NETHERLANDS,SWEDEN,2
NETHERLANDS,TURKEY,1
NETHERLANDS,UNITED ARAB EMIRATES,1
