Authors,Title,Year,Source title,Processed_Abstract,Processed_Keywords,Algorithms_in_Abstract_Expanded_New,Algorithms_in_Keywords_Expanded_New
Siddiqui A.; Zhao Z.; Pan C.; Rudzicz F.; Everett T.,Deep Learning Model for Automated Trainee Assessment During High-Fidelity Simulation,2023,Academic Medicine,problem implementation competencybased medical education necessitated frequent trainee assessments use simulation assessment tool limited access trained examiners cost concerns interrater reliability developing automated tool passfail assessment trainees simulation could improve accessibility quality assurance assessments study aimed develop automated assessment model using deep learning techniques assess performance anesthesiology trainees simulated critical event approach authors retrospectively analyzed anaphylaxis simulation videos train validate deep learning model used anaphylactic shock simulation video database established simulation curriculum integrating convenience sample 52 usable videos core part model developed july 2019 july 2020 bidirectional transformer encoder outcomes main outcome f1 score accuracy recall precision automated assessment model analyzing passfail trainees simulation videos five models developed evaluated strongest model model 1 accuracy 71 f1 score 068 next steps authors demonstrated feasibility developing deep learning model simulation database used automated assessment medical trainees simulated anaphylaxis scenario important next steps 1 integrate larger simulation dataset improve accuracy model 2 assess accuracy model alternative anaphylaxis simulations additional medical disciplines alternative medical education evaluation modalities 3 gather feedback education leadership clinician educators surrounding perceived strengths weaknesses deep learning models simulation assessment overall novel approach performance prediction broad implications medical education assessment © 2023 association american,,['Transformer Networks'],[]
Gomez-Rios I.; Egea-Lopez E.; Ortiz Ruiz A.J.,ORIENTATE: automated machine learning classifiers for oral health prediction and research,2023,BMC Oral Health,background application datadriven methods expected play increasingly important role healthcare however lack personnel necessary skills develop models interpret output preventing wider adoption methods address gap introduce describe orientate software automated application machine learning classification algorithms clinical practitioners lacking specific technical skills orientate allows selection features target variable automatically generates number classification models crossvalidates finding best model evaluating also implements custom feature selection algorithm systematic searches best combination predictors given target variable finally outputs comprehensive report graphs facilitates explanation classification model results using global interpretation methods interface prediction new input samples feature relevance interaction plots provided orientate allow use statistical inference replace andor complement classical statistical studies results application dataset healthy special health care needs shcn children treated deep sedation discussed case study example dataset despite small size feature selection algorithm found set features able predict need second sedation f1 score 083 roc auc 092 eight predictive factors populations found ordered relevance assigned model discussion derive inferences relevance interaction plots comparison classical study also provided conclusions orientate automatically finds suitable features generates accurate classifiers used preventive tasks addition researchers without specific skills data methods use application machine learning classification complement classical studies inferential analysis features case study high prediction accuracy second sedation shcn children achieved analysis relevance features showed number teeth pulpar treatments first sedation predictive factor second sedation © 2023 authors,classification deep sedation machine learning predictive dentistry second sedation risk special health care needs,['Machine Learning'],['Machine Learning']
Liu R.; Gutiérrez R.; Mather R.V.; Stone T.A.D.; Santa Cruz Mercado L.A.; Bharadwaj K.; Johnson J.; Das P.; Balanza G.; Uwanaka E.; Sydloski J.; Chen A.; Hagood M.; Bittner E.A.; Purdon P.L.,Development and prospective validation of postoperative pain prediction from preoperative EHR data using attention-based set embeddings,2023,npj Digital Medicine,preoperative knowledge expected postoperative pain help guide perioperative pain management focus interventions patients greatest risk acute pain however current methods predicting postoperative pain require patient clinician input laborious manual chart review often achieve sufficient performance use routinely collected electronic health record data multicenter dataset 234274 adult noncardiac surgical patients develop machine learning method predicts maximum pain scores day surgery four subsequent days validate method prospective cohort method pops fully automated relies data available prior surgery allowing application patients scheduled considering surgery report pops achieves stateoftheart performance outperforms clinician predictions postoperative days predicting maximum pain 0–10 nrs prospective validation though degraded calibration pops interpretable identifying comorbidities significantly contribute postoperative pain based patientspecific context assist clinicians mitigating cases acute pain © 2023 authors,,['Machine Learning'],[]
Ochs V.; Tobler A.; Enodien B.; Saad B.; Taha-Mehlitz S.; Wolleb J.; Awar J.E.; Neumann K.; Drews S.; Rosenblum I.; Stoll R.; Rosenberg R.; Frey D.M.; Cattin P.C.; Taha A.,Development and validation of a predictive model of the hospital cost associated with bariatric surgery,2023,Obesity Research and Clinical Practice,hospitals facing difficulties predicting evaluating managing costaffecting parameters patient treatments inaccurate cost prediction leads deficit operational revenue study aims determine ability machine learning ml algorithms predict cost care bariatric metabolic surgery develop predictive tool improved cost analysis 602 patients underwent bariatric metabolic surgery wetzikon hospital 2013 2019 included study multiple variables including patient factors surgical factors postoperative complications tested using number predictive modeling strategies study registered req 2022–00659 approved institutional review board cost defined sum costs incurred hospital stay expressed chf swiss francs data preprocessed split training set 80 test set 20 build validate models final model selected based mean absolute percentage error mape random forest model found accurate predicting overall cost bariatric surgery mean absolute percentage error 127 study provides evidence random forest model could used hospitals help financial calculations costefficient operation however research needed improve accuracy study serves proof principle efficient mlbased prediction tool tested multicenter data future phases study © 2023,bariatric surgery cost analysis cost prediction machine learning ml algorithms predictive model,"['Random Forest', 'Machine Learning']",['Machine Learning']
Zhou Y.; Lin X.; Luo S.; Ding S.; Xiao L.; Ren C.,Multi-Scene Mask Detection Based on Multi-Scale Residual and Complementary Attention Mechanism,2023,"Sensors (Basel, Switzerland)",vast amounts monitoring data obtained various optical sensors mask detection based deep learning integrates neural science variety applications everyday life however mask detection poses technical challenges small targets complex scenes occlusions necessitate high accuracy robustness multiscene target detection networks considering multiscale features increase receptive field attention mechanism improve detection effect small targets propose yolomsm network based multiscale residual msr block multiscale residual cascaded channelspatial attention msrccsa block enhanced residual ccsa erccsa block enhanced residual pcsa erpcsa block considering performance parameters use yolov5 baseline network firstly msr block construct hierarchical residual connections residual blocks extract multiscale features obtain finer features secondly realize joint attention function channel space ccsa block pcsa block adopted addition construct new dataset named multiscenemask contains various scenes crowd densities mask types experiments dataset show yolomsm achieves average precision 9751 showing better performance detection networks compared baseline network map value yolomsm increased 346 moreover propose module generalization improvement strategy gis training yolomsm dataset augmented white gaussian addition noise improve generalization ability network test results verify gis greatly improve generalization network yolomsm stronger generalization ability baseline,channelspatial attention deep learning generalization improvement strategy masked face dataset multiscale residual multiscene mask detection,[],[]
Duran H.-T.; Kingeter M.; Reale C.; Weinger M.B.; Salwei M.E.,Decision-making in anesthesiology: Will artificial intelligence make intraoperative care safer?,2023,Current Opinion in Anaesthesiology,purpose reviewthis article explores impact recent applications artificial intelligence clinical anesthesiologists decisionmakingrecent findingsnaturalistic decisionmaking rich research field aims understand cognitive work accomplished complex environments provides insight anesthesiologists decision processes due complexity clinical work limits human decisionmaking eg fatigue distraction cognitive biases attention role artificial intelligence support anesthesiologists decisionmaking grown artificial intelligence computers ability perform humanlike cognitive functions increasingly used anesthesiology examples include aiding prediction intraoperative hypotension postoperative complications well enhancing structure localization regional neuraxial anesthesia artificial intelligence integration ultrasoundsummaryto fully realize benefits artificial intelligence anesthesiology several important considerations must addressed including usability workflow integration appropriate level trust placed artificial intelligence impact decisionmaking potential deskilling practitioners issues accountability research needed enhance anesthesiologists clinical decisionmaking collaboration artificial intelligence © 2023 lippincott williams wilkins rights reserved,anesthesiology artificial intelligence decisionmaking safety,[],[]
Xu F.W.X.; Choo A.M.H.; Ting P.L.M.; Ong S.J.; Khoo D.,Leveraging AI in Postgraduate Medical Education for Rapid Skill Acquisition in Ultrasound-Guided Procedural Techniques,2023,Journal of Imaging,ultrasoundguided techniques increasingly prevalent represent gold standard care skills needle visualisation optimising target image directing needle require deliberate practice however training opportunities remain limited patient case load safety considerations hence genuine urgent need trainees attain accelerated skill acquisition time costefficient manner minimises risk patients propose twostep solution first created agar phantom model simulates human tissue structures like vessels nerve bundles moreover adopted deep learning techniques provide trainees live visualisation target structures automate assessment user speed accuracy key structures like needle tip needle body target blood vessels nerve bundles delineated colour processed image providing opportunity realtime guidance needle positioning target structure penetration quantitative feedback user speed time taken target penetration accuracy penetration correct target efficacy needle positioning percentage frames full needle visualised longitudinal plane also assessable using model program able demonstrate sensitivity 9931 specificity 6923 accuracy 9133 precision 8994 recall 9931 f1 score 094 automated image labelling © 2023 authors,anaesthesia deep learning nerve block quantitative feedback radiology simulation training training ultrasound vascular access,[],[]
Di Rocco F.; Proctor M.R.,Technical evolution of pediatric neurosurgery: craniosynostosis from 1972 to 2023 and beyond,2023,Child's Nervous System,clinical entities undergone many different treatment approaches short period time craniosynostosis surgical treatments condition ranged simple linear craniectomies accounting specific role cranial sutures assuring normal growth skull complex cranial vault reconstructions based perceived role skull base affecting growth skull great deal evolution occurred remains controversy regarding ideal treatment including best surgical technique optimal age surgery longterm morphological neurodevelopmental outcomes evolution surgical management craniosynostosis last 50 years affected several factors includes awareness needing operate affected children infancy achieve best results use multistage operations availability sophisticated surgical tools improved perioperative care forms craniosynostosis operations carried young age low morbidity postoperative use molding helmet springs distractors operations prove effective traditional larger cranial reconstructions performed older children consequence complex surgical operations become progressively less utilized second relevant advance recent advent molecular diagnosis allowed us understand pathogenesis associated malformations neurodevelopmental issues observed children despite appropriate surgical treatment future research focus improving analysis longerterm outcomes understanding natural history craniofacial conditions including issues persist despite optimal surgical correction progress molecular investigations concerning normal pathological development cranial sutures could significant step management craniosynostosis possibly favoring “ medical ” treatment near future artificial intelligence likely role establishing diagnosis less reliance radiographic studies assisting surgical planning overall much progress made remains much © 2023 authors exclusive licence springerverlag gmbh germany part springer nature,cranial reconstruction cranial suture craniosynostosis endoscopy linear craniectomies scaphocephaly,[],[]
Jiao T.-X.; Hu Y.; Guo S.-B.,Clinical value of sigmoid colon water exchange colonoscopy: a prospective randomized clinical trial,2023,Scientific Reports,prospective randomized controlled trial investigated clinical value sigmoid colon water exchange swe colonoscopy comparing air insufflation ai colonoscopy terms patient ’ pain score insertion time screening quality consecutive patients underwent colonoscopy without sedation randomized ai group n 267 swe group n 255 patient characteristics history abdominal pelvic surgery maximum pain score insertion time cecal intubation rate polyp detection rate need maneuvers recorded significant betweengroup difference insertion time cecal intubation rate assisted maneuvers abdominal pressure changing patients ’ position polyp detection rate p 005 mean maximum pain score significantly lower swe group ai group 357 ± 201 vs 469 ± 183 p 0001 patients history abdominal pelvic surgery overweight body mass index 24 maximum pain scores lower swe group ai group 367 ± 195 vs 488 ± 180 p 0001 340 ± 196 vs 479 ± 197 p 0001 respectively swe colonoscopy significantly reduce abdominal pain noninferior screening quality increase insertion time trial registration number chictr2200059057 date april 23 2022 © 2023 springer nature limited,,[],[]
Hung O.; Coonan T.,In reply: Artificial intelligence in anesthesia: an uphill but inevitable road,2023,Canadian Journal of Anesthesia,abstract available,art anesthesia artificial intelligence teaching,[],[]
